name,categories,address,city,postalCode,state,country,latitude,longitude,count
Jack's,"Breakfast Brunch and Lunch Restaurants,Hamburgers & Hot Dogs,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Breakfast Brunch & Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",113 Greenhill Blvd NW,Fort Payne,35967,AL,US,34.466440000000006,-85.70053,57
Sonic Drive-In,"Carry Out Food,American Restaurants,Hot Dog Stands and Restaurants,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",208 Main Saint E,Rainsville,35986,AL,US,34.49215,-85.84451999999999,285
Pizza Hut,"Pizza,Carry-out food,Restaurant,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Pizza Place,Restaurants",200 Main St W Ste 102,Rainsville,35986,AL,US,34.4957,-85.84983000000001,474
Subway,"Delis And Delicatessens,Take Out Restaurants,Fast Food Restaurants,Restaurants,Sandwich Shops",1003 Highway 231 S,Troy,36081,AL,US,31.78473,-85.96336,1219
Pizza Hut,"Pizza,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Restaurants",3029 Allison Bonnett Memorial Dr Ste 109,Bessemer,35023,AL,US,33.45073,-86.97938,474
Jack's,"Breakfast Brunch and Lunch Restaurants,Hamburgers & Hot Dogs,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Breakfast Brunch & Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",2181 Highway 78,Dora,35062,AL,US,33.756159999999994,-87.06325,57
Jack's,"Breakfast Brunch and Lunch Restaurants,Hamburgers & Hot Dogs,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Breakfast Brunch & Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",80 Highway 195,Jasper,35503,AL,US,33.854240000000004,-87.28822,57
Taco Bell,"Mexican Restaurant,Restaurant,Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,Mexican restaurants,Fast Food Restaurants,Restaurants",2885 Memorial Pkwy NW,Huntsville,35810,AL,US,34.76119,-86.59108,529
Subway,"Fast Food Restaurants,Restaurants,Sandwich Shops,Take Out Restaurants",6212A Old Madison Pike NW,Huntsville,35806,AL,US,34.713165000000004,-86.65868,1219
Subway,"Delis And Delicatessens,Restaurant,wich Place,Fast Food Restaurants,Take Out Restaurants,Sandwich Place,Restaurants,Sandwich Shops",6140 University Dr NW,Huntsville,35806,AL,US,34.746190000000006,-86.67575,1219
Chick-Fil-A,"Fast Food Restaurants,Chicken Restaurants,Restaurants",3711 Us Highway 431 S,Phenix City,36869,AL,US,32.422109999999996,-85.03987,76
McDonald's,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",3709 Highway 280 431 N,Phenix City,36867,AL,US,32.49808,-85.04433,784
Wendy's,"Carry Out Food,Fast Food,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",1707 Wynnton Road,Columbus,31906,GA,US,32.46804,-84.96781,313
Jimmy John's,"Sandwich Shops,Fast Food Restaurants",2808 Avenue S,Birmingham,35218,AL,US,33.505974,-86.89299,154
Jimmy John's,"Carry-out food,Restaurant,Caterers,Delicatessens,Fast Food Restaurant,American restaurants,Gourmet shop restaurants,wich Place,Food Delivery Service,Restaurants,Sandwich Shops",2808 7th Ave S Ste 113,Birmingham,35233,AL,US,33.51169,-86.78845,154
Carl's Jr.,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",1449 Montgomery HWay,Birmingham,35216,AL,US,33.419259999999994,-86.80079,205
Church's Chicken,"Carry-out food,Barbecued poultry,American restaurants,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Barbecue,Spare rib restaurants,Restaurants",1077 Highway 119,Alabaster,35007,AL,US,33.23687,-86.81286,63
Pizza Hut,"Pizza,Carry-out food,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Pizza Place,Restaurants",634 1st St N Ste 200,Alabaster,35007,AL,US,33.25046,-86.81478,474
