Zipcode,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Income Levels
50273,41.332618,-94.03802,8457.0,38.5,60691.0,35358.0,490.0,5.79401679082417,"Middle(<95,000)"
39766,33.615277,-88.31031,3430.0,35.2,59988.0,27793.0,127.0,3.7026239067055395,"Middle(<95,000)"
34681,28.088443,-82.77834,730.0,54.5,55198.0,39479.0,100.0,13.698630136986301,"Middle(<95,000)"
43821,40.130754,-82.01637,4444.0,42.0,61607.0,26953.0,422.0,9.495949594959496,"Middle(<95,000)"
53581,43.361048,-90.40776,9982.0,45.0,51550.0,27325.0,1381.0,13.834902825085154,"Middle(<95,000)"
54827,46.802909,-91.10944,289.0,55.8,44583.0,29788.0,34.0,11.764705882352942,"Middle(<95,000)"
62264,38.318253,-89.88852,3754.0,40.4,66464.0,28782.0,484.0,12.892914224826852,"Middle(<95,000)"
70743,30.019278,-90.77619,205.0,54.6,97969.0,36773.0,7.0,3.4146341463414633,"High(<400,000)"
79785,31.306912,-103.79377,121.0,53.4,-666666666.0,31254.0,13.0,10.743801652892563,
80303,39.989135,-105.22883,25081.0,30.0,62422.0,45376.0,5413.0,21.582074079980863,"Middle(<95,000)"
75205,32.836094,-96.79524,24877.0,35.9,156636.0,104518.0,1219.0,4.9001085339872175,"High(<400,000)"
76018,32.65392,-97.08724,31200.0,33.3,67962.0,24479.0,2677.0,8.580128205128204,"Middle(<95,000)"
76798,31.547466,-97.11997,1591.0,19.2,-666666666.0,2206.0,0.0,0.0,
76958,31.663529,-100.71789,183.0,59.6,-666666666.0,46084.0,3.0,1.639344262295082,
58472,46.638134,-98.63923,490.0,42.3,77188.0,36013.0,10.0,2.0408163265306123,"Middle(<95,000)"
17943,40.763048,-76.38158,113.0,46.7,46250.0,28751.0,0.0,0.0,"Middle(<95,000)"
15377,39.976027,-80.44474,705.0,44.5,62917.0,26179.0,75.0,10.638297872340425,"Middle(<95,000)"
16331,41.306317,-79.57486,58.0,55.3,65568.0,30617.0,0.0,0.0,"Middle(<95,000)"
28227,35.192919,-80.66822,57336.0,37.4,59438.0,28584.0,6894.0,12.02385935537882,"Middle(<95,000)"
32439,30.482838,-86.1675,10413.0,40.2,54901.0,26735.0,1126.0,10.813406319024297,"Middle(<95,000)"
32820,28.561242,-81.10735,10442.0,34.5,95089.0,33755.0,1149.0,11.003639149588201,"High(<400,000)"
33578,28.331186,-82.252917,52486.0,33.3,64181.0,30567.0,6270.0,11.94604275425828,"Middle(<95,000)"
34108,26.252711,-81.80825,16450.0,65.5,100705.0,88259.0,1113.0,6.76595744680851,"High(<400,000)"
36870,32.484671,-85.0752,19413.0,37.1,54067.0,28651.0,2126.0,10.951424303301911,"Middle(<95,000)"
40763,36.681189,-83.95156,434.0,58.5,19881.0,15455.0,180.0,41.474654377880185,"Low(<35,000)"
44275,41.101909,-82.10234,3387.0,46.1,77455.0,35163.0,197.0,5.816356657809271,"Middle(<95,000)"
44718,40.850683,-81.43773,11910.0,47.8,70897.0,45500.0,794.0,6.666666666666667,"Middle(<95,000)"
54525,46.429932,-90.22247,247.0,39.9,44583.0,32071.0,60.0,24.291497975708502,"Middle(<95,000)"
55379,44.776138,-93.52556,45062.0,34.8,88072.0,36697.0,2427.0,5.385912742443744,"Middle(<95,000)"
49745,46.01207,-84.45048,973.0,53.2,48400.0,27964.0,138.0,14.182939362795478,"Middle(<95,000)"
49838,46.095949,-85.71737,453.0,60.0,31734.0,25401.0,110.0,24.282560706401767,"Low(<35,000)"
30340,33.899381,-84.25367,27796.0,32.0,48793.0,24062.0,5188.0,18.66455605123039,"Middle(<95,000)"
13680,44.593588,-75.32389,1702.0,29.5,40781.0,16985.0,646.0,37.95534665099883,"Middle(<95,000)"
16613,40.554187,-78.5406,1370.0,46.9,63882.0,29102.0,64.0,4.671532846715328,"Middle(<95,000)"
20622,38.458322,-76.83947,6887.0,36.6,108397.0,32819.0,398.0,5.779003920429795,"High(<400,000)"
20724,39.101646,-76.80334,17513.0,34.6,103112.0,42817.0,1281.0,7.3145663221606805,"High(<400,000)"
23065,37.801783,-77.92431,1472.0,49.4,59167.0,33930.0,230.0,15.625,"Middle(<95,000)"
04497,45.733543,-68.05875,304.0,59.1,20729.0,22171.0,86.0,28.289473684210527,"Low(<35,000)"
10710,40.96555,-73.84506,25262.0,44.1,88228.0,43456.0,1558.0,6.167366004275196,"Middle(<95,000)"
11803,40.779911,-73.47948,28520.0,44.2,147469.0,61911.0,911.0,3.194249649368864,"High(<400,000)"
75435,33.507909,-95.31828,944.0,42.3,37059.0,20581.0,126.0,13.347457627118644,"Middle(<95,000)"
75974,31.943273,-94.24291,3410.0,41.4,37809.0,20971.0,701.0,20.55718475073314,"Middle(<95,000)"
76459,33.277727,-98.39461,270.0,30.0,91250.0,37756.0,49.0,18.14814814814815,"Middle(<95,000)"
65283,39.539711,-91.86679,548.0,63.0,42453.0,43225.0,27.0,4.927007299270073,"Middle(<95,000)"
16112,40.976839,-80.49346,1512.0,46.8,68929.0,34884.0,96.0,6.349206349206349,"Middle(<95,000)"
03293,43.967542,-71.840883,300.0,13.7,-666666666.0,29083.0,0.0,0.0,
06456,41.538016999999996,-72.525208,259.0,53.4,73875.0,52662.0,40.0,15.444015444015443,"Middle(<95,000)"
07041,40.724168,-74.29913,6770.0,40.9,134732.0,76542.0,254.0,3.7518463810930576,"High(<400,000)"
22920,37.987812,-78.79701,3876.0,52.7,87824.0,45027.0,114.0,2.9411764705882355,"Middle(<95,000)"
23950,36.678507,-78.08098,3870.0,48.2,36647.0,21012.0,1272.0,32.86821705426357,"Middle(<95,000)"
76238,33.491311,-97.39136,324.0,51.2,63333.0,30336.0,5.0,1.5432098765432098,"Middle(<95,000)"
77539,29.468772,-95.02689,46032.0,37.2,75664.0,33133.0,6986.0,15.17639902676399,"Middle(<95,000)"
95941,39.51642,-121.26853,775.0,62.7,55870.0,24570.0,56.0,7.225806451612903,"Middle(<95,000)"
06706,41.537896,-73.02827,13997.0,34.7,43017.0,21954.0,3809.0,27.212974208759018,"Middle(<95,000)"
61469,40.957929,-90.93608,2213.0,51.5,50556.0,25018.0,203.0,9.173068233167646,"Middle(<95,000)"
61858,40.121098,-87.74657,2980.0,39.2,63011.0,27935.0,322.0,10.805369127516778,"Middle(<95,000)"
19446,40.237206,-75.29156,56720.0,43.5,87158.0,46995.0,2375.0,4.1872355430183354,"Middle(<95,000)"
21201,39.295306,-76.62118,17256.0,31.0,37687.0,33640.0,4630.0,26.831247102457116,"Middle(<95,000)"
60154,41.851257,-87.88351,16440.0,46.0,86623.0,38753.0,802.0,4.878345498783455,"Middle(<95,000)"
04003,43.730790999999996,-69.99448,329.0,61.4,87708.0,33911.0,45.0,13.677811550151976,"Middle(<95,000)"
61764,40.884053,-88.63376,13732.0,41.0,49116.0,24518.0,2143.0,15.605884066414214,"Middle(<95,000)"
05055,43.735335,-72.29086,3230.0,44.2,120729.0,61381.0,181.0,5.603715170278638,"High(<400,000)"
71452,31.612618,-92.98075,172.0,29.0,40313.0,22404.0,2.0,1.1627906976744187,"Middle(<95,000)"
14838,42.177019,-76.66687,1917.0,48.2,56250.0,28896.0,185.0,9.650495565988523,"Middle(<95,000)"
87018,36.203634,-107.49441,589.0,28.6,15469.0,4945.0,437.0,74.19354838709677,"Low(<35,000)"
15448,40.134792,-79.74272,218.0,40.1,63317.0,21869.0,0.0,0.0,"Middle(<95,000)"
88267,33.270355,-103.42377,1138.0,35.5,53750.0,26623.0,103.0,9.050966608084359,"Middle(<95,000)"
75966,30.831678,-93.74869,4920.0,42.4,39375.0,21803.0,1086.0,22.073170731707318,"Middle(<95,000)"
13483,43.399851,-75.82785,418.0,42.4,79167.0,23483.0,57.0,13.636363636363637,"Middle(<95,000)"
15551,39.886916,-79.25388,746.0,50.4,53958.0,25857.0,76.0,10.187667560321715,"Middle(<95,000)"
15748,40.529621,-79.14264,6584.0,45.6,51987.0,27400.0,825.0,12.530376670716889,"Middle(<95,000)"
17016,40.273967999999996,-76.40602,963.0,78.1,80208.0,33347.0,9.0,0.9345794392523364,"Middle(<95,000)"
31005,32.556668,-83.62435,17961.0,35.2,83219.0,34843.0,1895.0,10.550637492344524,"Middle(<95,000)"
24646,37.14445,-81.99735,642.0,56.7,35694.0,18097.0,185.0,28.81619937694704,"Middle(<95,000)"
26161,39.173299,-81.25595,604.0,47.0,53833.0,22086.0,10.0,1.6556291390728477,"Middle(<95,000)"
20853,39.087409,-77.0944,31061.0,41.5,118858.0,47019.0,1664.0,5.357200347702907,"High(<400,000)"
21675,38.286828,-76.08221,90.0,60.5,41250.0,19727.0,9.0,10.0,"Middle(<95,000)"
22834,38.544652,-78.86564,1055.0,43.6,74725.0,32644.0,53.0,5.023696682464455,"Middle(<95,000)"
18078,40.675741,-75.61626,7621.0,46.3,90402.0,45214.0,228.0,2.991733368324367,"Middle(<95,000)"
